Num,Year,ArticleURL
1,2009,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=62249090980&origin=inward
2,2012,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84856809229&origin=inward
3,2011,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=80054920625&origin=inward
4,2010,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=79955875677&origin=inward
5,2008,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=51349101747&origin=inward
6,2010,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=79952150916&origin=inward
7,2012,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=81155148252&origin=inward
8,2014,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84907686151&origin=inward
9,2013,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84869886891&origin=inward
10,2012,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84864067908&origin=inward
11,2014,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84898917097&origin=inward
12,2015,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84921019934&origin=inward
13,2009,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=70149113732&origin=inward
14,2012,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84883418927&origin=inward
15,2013,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84881465449&origin=inward
16,2015,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84921508520&origin=inward
17,2012,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84874595551&origin=inward
18,2014,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84895806842&origin=inward
19,2013,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84885914389&origin=inward
20,2013,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84880334514&origin=inward
21,2013,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84880581060&origin=inward
22,2013,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84884474340&origin=inward
23,2015,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84930319522&origin=inward
24,2012,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84903540750&origin=inward
25,2012,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84867420942&doi=10.1007%2fs13744-012-0059-3&partnerID=40&md5=d0de27c6daa3460e51fb628ff0abb2e0
26,2012,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84903544761&origin=inward
27,2015,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84946054383&origin=inward
28,2013,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84878394735&origin=inward
29,2011,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84555223640&origin=inward
30,2011,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=79955732852&origin=inward
31,2016,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84949844461&origin=inward
32,2015,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84925423929&origin=inward
33,2011,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84856477967&origin=inward
34,2008,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=55149087290&origin=inward
35,2013,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84887088820&origin=inward
36,2013,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84879575506&origin=inward
37,2009,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=76749111996&origin=inward
38,2017,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84945243012&origin=inward
39,2015,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84943632842&origin=inward
40,2014,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84896961559&origin=inward
41,2012,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84869416034&origin=inward
42,2010,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=77956257175&origin=inward
43,2012,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84869422201&origin=inward
44,2012,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84868592398&origin=inward
45,2014,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84925011557&origin=inward
46,2017,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85023772769&doi=10.1007%2fs13744-016-0475-x&partnerID=40&md5=693f6d2573fa7b37fe80fd2451bb6d4e
47,2016,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85007571977&origin=inward
48,2013,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84880587159&origin=inward
49,2016,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84992655477&origin=inward
50,2014,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84913604345&origin=inward
51,2015,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84937731407&origin=inward
52,2013,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84896840532&origin=inward
53,2014,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84918552824&origin=inward
54,2015,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84949772314&origin=inward
55,2016,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84991047756&origin=inward
56,2016,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84977109071&origin=inward
57,2016,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85019763540&origin=inward
58,2018,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85033396432&origin=inward
59,2017,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85038818162&origin=inward
60,2014,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84906329127&origin=inward
61,2017,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84966694873&origin=inward
62,2015,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84941620027&origin=inward
